year,city,region,city_tier,population_approx,median_salary_gross_gbp_monthly,median_salary_net_gbp_monthly,median_salary_gross_gbp_annual,national_median_gross_gbp_monthly,national_median_gross_gbp_annual,national_min_wage_gbp_monthly,national_nlw_hourly_gbp,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_gbp,rent_1br_outside_center_gbp,meal_cheap_restaurant_gbp,groceries_monthly_gbp,public_transport_monthly_gbp,est_monthly_cost_single_gbp,affordability_ratio,rent_to_income_pct,data_source
2014,Norwich,East of England,city_large,213000,2556,1853,30672,2267,27200,1127,6.5,1.127,1.5,67.7,846,603,10,224,61,1163,1.59,23.6,ons_modeled
2015,Norwich,East of England,city_large,213000,2482,1799,29784,2304,27645,1161,6.7,1.077,0.1,67.2,805,651,10,215,66,1207,1.49,26.2,ons_modeled
2016,Norwich,East of England,city_large,213000,2645,1918,31740,2350,28195,1248,7.2,1.126,0.7,67.1,850,630,10,215,63,1183,1.62,23.8,ons_modeled
2017,Norwich,East of England,city_large,213000,2680,1943,32160,2413,28954,1300,7.5,1.111,2.7,68.5,853,636,10,225,63,1201,1.62,23.7,ons_modeled
2018,Norwich,East of England,city_large,213000,2727,1977,32724,2463,29559,1357,7.83,1.107,2.5,67.9,892,670,10,230,67,1246,1.59,24.6,ons_modeled
2019,Norwich,East of England,city_large,213000,2810,2037,33720,2532,30378,1423,8.21,1.11,1.7,68.4,902,681,10,235,66,1263,1.61,24.2,ons_modeled
2020,Norwich,East of England,city_large,213000,2806,2034,33672,2622,31461,1511,8.72,1.07,0.9,68.2,920,670,11,245,67,1283,1.59,23.9,ons_modeled
2021,Norwich,East of England,city_large,213000,2833,2054,33996,2648,31772,1544,8.91,1.07,2.5,68.0,918,692,11,233,69,1297,1.58,24.4,ons_modeled
2022,Norwich,East of England,city_large,213000,3006,2179,36072,2750,33000,1647,9.5,1.093,9.1,68.8,952,735,12,266,76,1408,1.55,24.5,ons_modeled
2023,Norwich,East of England,city_large,213000,3143,2279,37716,2914,34963,1806,10.42,1.079,7.3,69.1,1109,804,13,291,84,1536,1.48,25.6,ons_modeled
2024,Norwich,East of England,city_large,213000,3405,2469,40860,3119,37430,1983,11.44,1.092,2.6,68.2,1067,881,13,283,87,1611,1.53,25.9,ons_modeled
2010,Ipswich,East of England,city_large,134000,2408,1746,28896,2157,25879,1028,5.93,1.116,3.3,67.6,766,572,9,192,55,1066,1.64,23.8,ons_modeled
2011,Ipswich,East of England,city_large,134000,2503,1815,30036,2183,26200,1054,6.08,1.147,4.5,67.1,773,581,9,204,60,1095,1.66,23.2,ons_modeled
2012,Ipswich,East of England,city_large,134000,2451,1777,29412,2208,26500,1073,6.19,1.11,2.8,67.4,757,629,9,205,60,1146,1.55,25.7,ons_modeled
2013,Ipswich,East of England,city_large,134000,2569,1863,30828,2250,27000,1094,6.31,1.142,2.6,67.6,789,630,9,219,62,1164,1.6,24.5,ons_modeled
2014,Ipswich,East of England,city_large,134000,2433,1764,29196,2267,27200,1127,6.5,1.073,1.5,67.0,821,653,9,224,63,1195,1.48,26.8,ons_modeled
2015,Ipswich,East of England,city_large,134000,2604,1888,31248,2304,27645,1161,6.7,1.13,0.1,67.3,814,613,10,219,64,1171,1.61,23.5,ons_modeled
2016,Ipswich,East of England,city_large,134000,2483,1800,29796,2350,28195,1248,7.2,1.057,0.7,68.5,827,662,10,211,65,1213,1.48,26.7,ons_modeled
2017,Ipswich,East of England,city_large,134000,2612,1894,31344,2413,28954,1300,7.5,1.082,2.7,67.6,854,624,10,233,66,1200,1.58,23.9,ons_modeled
2018,Ipswich,East of England,city_large,134000,2607,1890,31284,2463,29559,1357,7.83,1.058,2.5,68.4,911,642,10,231,65,1217,1.55,24.6,ons_modeled
2019,Ipswich,East of England,city_large,134000,2740,1986,32880,2532,30378,1423,8.21,1.082,1.7,68.3,842,702,11,229,69,1301,1.53,25.6,ons_modeled
2020,Ipswich,East of England,city_large,134000,2870,2081,34440,2622,31461,1511,8.72,1.095,0.9,68.6,917,698,10,227,66,1272,1.64,24.3,ons_modeled
2021,Ipswich,East of England,city_large,134000,2947,2137,35364,2648,31772,1544,8.91,1.113,2.5,68.9,871,715,11,234,72,1324,1.61,24.3,ons_modeled
2022,Ipswich,East of England,city_large,134000,2955,2142,35460,2750,33000,1647,9.5,1.075,9.1,68.8,992,741,12,254,80,1406,1.52,25.1,ons_modeled
2023,Ipswich,East of England,city_large,134000,3225,2338,38700,2914,34963,1806,10.42,1.107,7.3,69.1,1105,816,13,290,85,1548,1.51,25.3,ons_modeled
2024,Ipswich,East of England,city_large,134000,3268,2369,39216,3119,37430,1983,11.44,1.048,2.6,68.5,1051,847,12,297,88,1572,1.51,25.9,ons_modeled
2010,Peterborough,East of England,city_large,196000,2442,1770,29304,2157,25879,1028,5.93,1.132,3.3,66.7,710,544,8,188,54,1013,1.75,22.3,ons_modeled
2011,Peterborough,East of England,city_large,196000,2496,1810,29952,2183,26200,1054,6.08,1.143,4.5,66.8,777,612,9,196,60,1118,1.62,24.5,ons_modeled
2012,Peterborough,East of England,city_large,196000,2392,1734,28704,2208,26500,1073,6.19,1.083,2.8,66.8,795,594,9,207,61,1114,1.56,24.8,ons_modeled
2013,Peterborough,East of England,city_large,196000,2483,1800,29796,2250,27000,1094,6.31,1.104,2.6,67.9,789,602,10,217,61,1153,1.56,24.2,ons_modeled
2014,Peterborough,East of England,city_large,196000,2437,1767,29244,2267,27200,1127,6.5,1.075,1.5,68.2,827,629,10,221,64,1189,1.49,25.8,ons_modeled
2015,Peterborough,East of England,city_large,196000,2480,1798,29760,2304,27645,1161,6.7,1.076,0.1,67.6,827,658,10,221,64,1218,1.48,26.5,ons_modeled
2016,Peterborough,East of England,city_large,196000,2532,1836,30384,2350,28195,1248,7.2,1.077,0.7,67.9,820,644,9,217,64,1180,1.56,25.4,ons_modeled
2017,Peterborough,East of England,city_large,196000,2550,1849,30600,2413,28954,1300,7.5,1.057,2.7,67.3,827,633,10,218,66,1194,1.55,24.8,ons_modeled
2018,Peterborough,East of England,city_large,196000,2720,1972,32640,2463,29559,1357,7.83,1.104,2.5,68.7,888,669,11,222,68,1258,1.57,24.6,ons_modeled
2019,Peterborough,East of England,city_large,196000,2794,2026,33528,2532,30378,1423,8.21,1.103,1.7,68.6,851,686,10,228,67,1262,1.61,24.6,ons_modeled
2020,Peterborough,East of England,city_large,196000,2854,2069,34248,2622,31461,1511,8.72,1.088,0.9,68.4,920,667,11,233,67,1268,1.63,23.4,ons_modeled
2021,Peterborough,East of England,city_large,196000,2800,2030,33600,2648,31772,1544,8.91,1.057,2.5,68.1,884,725,11,242,71,1341,1.51,25.9,ons_modeled
2022,Peterborough,East of England,city_large,196000,2958,2145,35496,2750,33000,1647,9.5,1.076,9.1,68.9,1011,749,12,274,79,1433,1.5,25.3,ons_modeled
2023,Peterborough,East of England,city_large,196000,3140,2276,37680,2914,34963,1806,10.42,1.078,7.3,69.0,1089,826,12,281,86,1530,1.49,26.3,ons_modeled
2024,Peterborough,East of England,city_large,196000,3313,2402,39756,3119,37430,1983,11.44,1.062,2.6,68.5,1046,889,12,298,85,1612,1.49,26.8,ons_modeled
2010,Colchester,East of England,city_medium,191000,2166,1570,25992,2157,25879,1028,5.93,1.004,3.3,58.2,546,435,8,175,48,885,1.77,20.1,ons_modeled
2011,Colchester,East of England,city_medium,191000,2187,1586,26244,2183,26200,1054,6.08,1.002,4.5,58.2,602,484,8,185,49,948,1.67,22.1,ons_modeled
2012,Colchester,East of England,city_medium,191000,2244,1627,26928,2208,26500,1073,6.19,1.016,2.8,58.6,592,492,8,190,52,966,1.68,21.9,ons_modeled
2013,Colchester,East of England,city_medium,191000,2240,1624,26880,2250,27000,1094,6.31,0.996,2.6,58.1,650,482,9,196,51,982,1.65,21.5,ons_modeled
2014,Colchester,East of England,city_medium,191000,2254,1634,27048,2267,27200,1127,6.5,0.994,1.5,58.3,642,517,9,190,52,1014,1.61,22.9,ons_modeled
2015,Colchester,East of England,city_medium,191000,2343,1699,28116,2304,27645,1161,6.7,1.017,0.1,59.1,627,510,9,198,55,1018,1.67,21.8,ons_modeled
2016,Colchester,East of England,city_medium,191000,2351,1704,28212,2350,28195,1248,7.2,1.0,0.7,59.0,656,507,9,202,54,1018,1.67,21.6,ons_modeled
2017,Colchester,East of England,city_medium,191000,2467,1789,29604,2413,28954,1300,7.5,1.022,2.7,58.9,625,511,9,212,54,1034,1.73,20.7,ons_modeled
2018,Colchester,East of England,city_medium,191000,2527,1832,30324,2463,29559,1357,7.83,1.026,2.5,59.8,643,563,9,209,57,1088,1.68,22.3,ons_modeled
2019,Colchester,East of England,city_medium,191000,2546,1846,30552,2532,30378,1423,8.21,1.006,1.7,59.4,704,564,9,214,56,1095,1.69,22.2,ons_modeled
2020,Colchester,East of England,city_medium,191000,2535,1838,30420,2622,31461,1511,8.72,0.967,0.9,59.0,718,569,9,224,58,1112,1.65,22.4,ons_modeled
2021,Colchester,East of England,city_medium,191000,2618,1898,31416,2648,31772,1544,8.91,0.989,2.5,59.0,741,582,10,213,60,1138,1.67,22.2,ons_modeled
2022,Colchester,East of England,city_medium,191000,2712,1966,32544,2750,33000,1647,9.5,0.986,9.1,59.4,734,589,11,234,64,1198,1.64,21.7,ons_modeled
2023,Colchester,East of England,city_medium,191000,2815,2041,33780,2914,34963,1806,10.42,0.966,7.3,59.3,842,665,12,252,67,1321,1.55,23.6,ons_modeled
2024,Colchester,East of England,city_medium,191000,3070,2226,36840,3119,37430,1983,11.44,0.984,2.6,60.3,877,683,13,260,71,1374,1.62,22.2,ons_modeled
2010,Chelmsford,East of England,city_medium,111000,2254,1634,27048,2157,25879,1028,5.93,1.045,3.3,57.8,555,464,8,178,49,918,1.78,20.6,ons_modeled
2011,Chelmsford,East of England,city_medium,111000,2214,1605,26568,2183,26200,1054,6.08,1.014,4.5,59.0,605,478,8,182,51,941,1.71,21.6,ons_modeled
2012,Chelmsford,East of England,city_medium,111000,2302,1669,27624,2208,26500,1073,6.19,1.043,2.8,58.9,610,502,8,186,50,970,1.72,21.8,ons_modeled
2013,Chelmsford,East of England,city_medium,111000,2312,1676,27744,2250,27000,1094,6.31,1.028,2.6,57.8,646,509,9,202,54,1018,1.65,22.0,ons_modeled
2014,Chelmsford,East of England,city_medium,111000,2339,1696,28068,2267,27200,1127,6.5,1.032,1.5,58.2,647,522,9,203,55,1035,1.64,22.3,ons_modeled
2015,Chelmsford,East of England,city_medium,111000,2350,1704,28200,2304,27645,1161,6.7,1.02,0.1,58.1,644,483,9,202,56,996,1.71,20.6,ons_modeled
2016,Chelmsford,East of England,city_medium,111000,2304,1670,27648,2350,28195,1248,7.2,0.98,0.7,59.1,660,529,9,198,56,1038,1.61,23.0,ons_modeled
2017,Chelmsford,East of England,city_medium,111000,2448,1775,29376,2413,28954,1300,7.5,1.015,2.7,58.3,665,517,9,198,54,1026,1.73,21.1,ons_modeled
2018,Chelmsford,East of England,city_medium,111000,2489,1805,29868,2463,29559,1357,7.83,1.011,2.5,58.6,645,557,10,215,57,1108,1.63,22.4,ons_modeled
2019,Chelmsford,East of England,city_medium,111000,2503,1815,30036,2532,30378,1423,8.21,0.989,1.7,58.8,715,573,9,221,60,1115,1.63,22.9,ons_modeled
2020,Chelmsford,East of England,city_medium,111000,2688,1949,32256,2622,31461,1511,8.72,1.025,0.9,59.3,668,556,9,221,60,1098,1.78,20.7,ons_modeled
2021,Chelmsford,East of England,city_medium,111000,2594,1881,31128,2648,31772,1544,8.91,0.98,2.5,59.0,680,576,10,227,59,1145,1.64,22.2,ons_modeled
2022,Chelmsford,East of England,city_medium,111000,2782,2017,33384,2750,33000,1647,9.5,1.012,9.1,59.8,805,624,11,250,67,1252,1.61,22.4,ons_modeled
2023,Chelmsford,East of England,city_medium,111000,2843,2061,34116,2914,34963,1806,10.42,0.976,7.3,59.6,841,655,12,249,72,1313,1.57,23.0,ons_modeled
2024,Chelmsford,East of England,city_medium,111000,3109,2254,37308,3119,37430,1983,11.44,0.997,2.6,60.3,859,688,11,255,74,1337,1.69,22.1,ons_modeled
2010,Southend-on-Sea,East of England,city_medium,182000,2193,1590,26316,2157,25879,1028,5.93,1.017,3.3,57.8,568,469,8,182,48,926,1.72,21.4,ons_modeled
2011,Southend-on-Sea,East of England,city_medium,182000,2189,1587,26268,2183,26200,1054,6.08,1.003,4.5,58.6,586,459,9,178,50,937,1.69,21.0,ons_modeled
2012,Southend-on-Sea,East of England,city_medium,182000,2223,1612,26676,2208,26500,1073,6.19,1.007,2.8,58.1,626,475,9,189,50,966,1.67,21.4,ons_modeled
2013,Southend-on-Sea,East of England,city_medium,182000,2233,1619,26796,2250,27000,1094,6.31,0.992,2.6,58.7,597,513,9,197,55,1018,1.59,23.0,ons_modeled
2014,Southend-on-Sea,East of England,city_medium,182000,2287,1658,27444,2267,27200,1127,6.5,1.009,1.5,58.5,609,496,9,196,52,999,1.66,21.7,ons_modeled
2015,Southend-on-Sea,East of England,city_medium,182000,2398,1739,28776,2304,27645,1161,6.7,1.041,0.1,58.5,642,491,9,195,52,993,1.75,20.5,ons_modeled
2016,Southend-on-Sea,East of England,city_medium,182000,2361,1712,28332,2350,28195,1248,7.2,1.005,0.7,58.6,626,515,9,197,55,1022,1.68,21.8,ons_modeled
2017,Southend-on-Sea,East of England,city_medium,182000,2492,1807,29904,2413,28954,1300,7.5,1.033,2.7,58.7,636,535,9,201,54,1047,1.73,21.5,ons_modeled
2018,Southend-on-Sea,East of England,city_medium,182000,2415,1751,28980,2463,29559,1357,7.83,0.981,2.5,59.5,651,565,10,201,56,1101,1.59,23.4,ons_modeled
2019,Southend-on-Sea,East of England,city_medium,182000,2473,1793,29676,2532,30378,1423,8.21,0.977,1.7,59.7,683,550,9,209,59,1079,1.66,22.2,ons_modeled
2020,Southend-on-Sea,East of England,city_medium,182000,2660,1928,31920,2622,31461,1511,8.72,1.014,0.9,58.6,723,574,10,222,58,1135,1.7,21.6,ons_modeled
2021,Southend-on-Sea,East of England,city_medium,182000,2632,1908,31584,2648,31772,1544,8.91,0.994,2.5,58.8,715,548,10,228,58,1117,1.71,20.8,ons_modeled
2022,Southend-on-Sea,East of England,city_medium,182000,2802,2031,33624,2750,33000,1647,9.5,1.019,9.1,59.6,774,631,11,233,68,1243,1.63,22.5,ons_modeled
2023,Southend-on-Sea,East of England,city_medium,182000,2992,2169,35904,2914,34963,1806,10.42,1.027,7.3,60.4,850,640,11,252,68,1277,1.7,21.4,ons_modeled
2024,Southend-on-Sea,East of England,city_medium,182000,3117,2260,37404,3119,37430,1983,11.44,0.999,2.6,60.5,841,688,12,275,71,1374,1.64,22.1,ons_modeled
2010,St Albans,East of England,city_small,75000,2019,1464,24228,2157,25879,1028,5.93,0.936,3.3,51.6,515,387,7,164,41,799,1.83,19.2,ons_modeled
2011,St Albans,East of England,city_small,75000,2106,1527,25272,2183,26200,1054,6.08,0.965,4.5,51.6,515,428,8,170,41,869,1.76,20.3,ons_modeled
2012,St Albans,East of England,city_small,75000,2092,1517,25104,2208,26500,1073,6.19,0.947,2.8,51.1,556,445,8,178,43,898,1.69,21.3,ons_modeled
2013,St Albans,East of England,city_small,75000,2203,1597,26436,2250,27000,1094,6.31,0.979,2.6,51.7,554,446,8,179,45,903,1.77,20.2,ons_modeled
2014,St Albans,East of England,city_small,75000,2140,1552,25680,2267,27200,1127,6.5,0.944,1.5,51.5,578,429,9,183,44,911,1.7,20.0,ons_modeled
2015,St Albans,East of England,city_small,75000,2226,1614,26712,2304,27645,1161,6.7,0.966,0.1,51.0,579,451,8,186,44,916,1.76,20.3,ons_modeled
2016,St Albans,East of England,city_small,75000,2249,1631,26988,2350,28195,1248,7.2,0.957,0.7,51.4,570,430,8,183,47,895,1.82,19.1,ons_modeled
2017,St Albans,East of England,city_small,75000,2268,1644,27216,2413,28954,1300,7.5,0.94,2.7,51.7,580,446,8,183,45,911,1.8,19.7,ons_modeled
2018,St Albans,East of England,city_small,75000,2305,1671,27660,2463,29559,1357,7.83,0.936,2.5,52.2,622,456,9,197,47,959,1.74,19.8,ons_modeled
2019,St Albans,East of England,city_small,75000,2314,1678,27768,2532,30378,1423,8.21,0.914,1.7,52.5,597,482,9,194,49,986,1.7,20.8,ons_modeled
2020,St Albans,East of England,city_small,75000,2419,1754,29028,2622,31461,1511,8.72,0.923,0.9,52.5,583,468,9,194,49,972,1.8,19.3,ons_modeled
2021,St Albans,East of England,city_small,75000,2478,1797,29736,2648,31772,1544,8.91,0.936,2.5,52.4,640,494,9,205,50,1012,1.78,19.9,ons_modeled
2022,St Albans,East of England,city_small,75000,2525,1831,30300,2750,33000,1647,9.5,0.918,9.1,51.8,692,559,10,216,56,1122,1.63,22.1,ons_modeled
2023,St Albans,East of England,city_small,75000,2753,1996,33036,2914,34963,1806,10.42,0.945,7.3,51.8,728,603,11,244,57,1221,1.63,21.9,ons_modeled
2024,St Albans,East of England,city_small,75000,2848,2065,34176,3119,37430,1983,11.44,0.913,2.6,52.2,738,624,11,244,61,1249,1.65,21.9,ons_modeled
2010,Stevenage,East of England,city_small,87000,2065,1497,24780,2157,25879,1028,5.93,0.957,3.3,51.2,496,417,7,162,41,827,1.81,20.2,ons_modeled
2011,Stevenage,East of England,city_small,87000,2158,1565,25896,2183,26200,1054,6.08,0.989,4.5,51.2,500,411,8,166,42,849,1.84,19.0,ons_modeled
2012,Stevenage,East of England,city_small,87000,2181,1581,26172,2208,26500,1073,6.19,0.988,2.8,52.0,538,449,8,181,42,904,1.75,20.6,ons_modeled
2013,Stevenage,East of England,city_small,87000,2109,1529,25308,2250,27000,1094,6.31,0.937,2.6,51.2,562,445,8,182,44,904,1.69,21.1,ons_modeled
2014,Stevenage,East of England,city_small,87000,2152,1560,25824,2267,27200,1127,6.5,0.949,1.5,51.3,570,428,9,182,45,910,1.71,19.9,ons_modeled
2015,Stevenage,East of England,city_small,87000,2162,1567,25944,2304,27645,1161,6.7,0.938,0.1,51.7,569,458,8,180,45,918,1.71,21.2,ons_modeled
2016,Stevenage,East of England,city_small,87000,2183,1583,26196,2350,28195,1248,7.2,0.929,0.7,51.1,563,468,8,178,44,925,1.71,21.4,ons_modeled
2017,Stevenage,East of England,city_small,87000,2300,1668,27600,2413,28954,1300,7.5,0.953,2.7,52.3,556,454,8,191,46,928,1.8,19.7,ons_modeled
2018,Stevenage,East of England,city_small,87000,2255,1635,27060,2463,29559,1357,7.83,0.916,2.5,51.9,608,454,9,187,49,949,1.72,20.1,ons_modeled
2019,Stevenage,East of England,city_small,87000,2389,1732,28668,2532,30378,1423,8.21,0.944,1.7,52.6,619,479,9,194,50,984,1.76,20.1,ons_modeled
2020,Stevenage,East of England,city_small,87000,2420,1754,29040,2622,31461,1511,8.72,0.923,0.9,52.8,582,493,9,205,48,1007,1.74,20.4,ons_modeled
2021,Stevenage,East of England,city_small,87000,2413,1749,28956,2648,31772,1544,8.91,0.911,2.5,51.6,594,487,9,201,50,1001,1.75,20.2,ons_modeled
2022,Stevenage,East of England,city_small,87000,2652,1923,31824,2750,33000,1647,9.5,0.964,9.1,52.2,683,550,10,228,54,1123,1.71,20.7,ons_modeled
2023,Stevenage,East of England,city_small,87000,2743,1989,32916,2914,34963,1806,10.42,0.941,7.3,52.0,745,583,11,248,58,1206,1.65,21.3,ons_modeled
2024,Stevenage,East of England,city_small,87000,2873,2083,34476,3119,37430,1983,11.44,0.921,2.6,52.8,720,601,11,237,58,1216,1.71,20.9,ons_modeled
2010,Birmingham,West Midlands,city_large,1150000,1972,1430,23664,2157,25879,1028,5.93,0.914,3.3,67.8,729,550,8,194,55,1026,1.39,27.9,numbeo
2011,Birmingham,West Midlands,city_large,1150000,2032,1473,24384,2183,26200,1054,6.08,0.931,4.5,68.2,774,571,9,204,60,1085,1.36,28.1,numbeo
2012,Birmingham,West Midlands,city_large,1150000,2088,1514,25056,2208,26500,1073,6.19,0.946,2.8,69.0,799,621,9,205,62,1140,1.33,29.7,numbeo
2013,Birmingham,West Midlands,city_large,1150000,2029,1471,24348,2250,27000,1094,6.31,0.902,2.6,68.3,786,606,9,207,64,1130,1.3,29.9,numbeo
2014,Birmingham,West Midlands,city_large,1150000,2118,1536,25416,2267,27200,1127,6.5,0.934,1.5,69.2,845,616,10,216,61,1168,1.32,29.1,numbeo
2015,Birmingham,West Midlands,city_large,1150000,2103,1525,25236,2304,27645,1161,6.7,0.913,0.1,69.7,809,634,10,213,63,1185,1.29,30.1,numbeo
2016,Birmingham,West Midlands,city_large,1150000,2131,1545,25572,2350,28195,1248,7.2,0.907,0.7,68.9,831,628,10,222,65,1190,1.3,29.5,numbeo
2017,Birmingham,West Midlands,city_large,1150000,2267,1644,27204,2413,28954,1300,7.5,0.939,2.7,70.2,884,665,10,226,65,1233,1.33,29.3,numbeo
2018,Birmingham,West Midlands,city_large,1150000,2353,1706,28236,2463,29559,1357,7.83,0.955,2.5,70.0,833,674,10,224,68,1245,1.37,28.6,numbeo
2019,Birmingham,West Midlands,city_large,1150000,2302,1669,27624,2532,30378,1423,8.21,0.909,1.7,69.6,928,696,10,242,70,1289,1.29,30.2,numbeo
2020,Birmingham,West Midlands,city_large,1150000,2450,1776,29400,2622,31461,1511,8.72,0.934,0.9,70.5,867,692,10,233,67,1273,1.4,28.2,numbeo
2021,Birmingham,West Midlands,city_large,1150000,2462,1785,29544,2648,31772,1544,8.91,0.93,2.5,70.9,955,743,11,242,73,1361,1.31,30.2,numbeo
2022,Birmingham,West Midlands,city_large,1150000,2533,1836,30396,2750,33000,1647,9.5,0.921,9.1,71.2,959,766,11,258,80,1415,1.3,30.2,numbeo
2023,Birmingham,West Midlands,city_large,1150000,2791,2023,33492,2914,34963,1806,10.42,0.958,7.3,71.1,1110,848,13,287,83,1575,1.28,30.4,numbeo
2024,Birmingham,West Midlands,city_large,1150000,2899,2102,34788,3119,37430,1983,11.44,0.929,2.6,71.0,1153,837,13,296,88,1581,1.33,28.9,numbeo
2010,Coventry,West Midlands,city_large,366000,1993,1445,23916,2157,25879,1028,5.93,0.924,3.3,62.0,718,542,9,198,57,1044,1.38,27.2,numbeo
2011,Coventry,West Midlands,city_large,366000,1964,1424,23568,2183,26200,1054,6.08,0.9,4.5,62.0,799,609,9,207,59,1125,1.27,31.0,numbeo
2012,Coventry,West Midlands,city_large,366000,2045,1483,24540,2208,26500,1073,6.19,0.926,2.8,62.6,821,598,10,212,61,1143,1.3,29.2,numbeo
2013,Coventry,West Midlands,city_large,366000,2104,1525,25248,2250,27000,1094,6.31,0.935,2.6,63.5,816,607,10,214,62,1156,1.32,28.8,numbeo
2014,Coventry,West Midlands,city_large,366000,2067,1499,24804,2267,27200,1127,6.5,0.912,1.5,63.7,814,626,10,222,63,1186,1.26,30.3,numbeo
2015,Coventry,West Midlands,city_large,366000,2112,1531,25344,2304,27645,1161,6.7,0.917,0.1,63.1,793,627,10,211,65,1178,1.3,29.7,numbeo
2016,Coventry,West Midlands,city_large,366000,2126,1541,25512,2350,28195,1248,7.2,0.905,0.7,63.5,827,662,9,225,62,1204,1.28,31.1,numbeo
2017,Coventry,West Midlands,city_large,366000,2192,1589,26304,2413,28954,1300,7.5,0.908,2.7,63.8,818,680,10,221,64,1242,1.28,31.0,numbeo
2018,Coventry,West Midlands,city_large,366000,2194,1591,26328,2463,29559,1357,7.83,0.891,2.5,63.3,901,683,10,230,68,1260,1.26,31.1,numbeo
2019,Coventry,West Midlands,city_large,366000,2292,1662,27504,2532,30378,1423,8.21,0.905,1.7,64.0,865,717,11,240,71,1329,1.25,31.3,numbeo
2020,Coventry,West Midlands,city_large,366000,2438,1768,29256,2622,31461,1511,8.72,0.93,0.9,64.4,875,712,10,238,68,1299,1.36,29.2,numbeo
2021,Coventry,West Midlands,city_large,366000,2449,1776,29388,2648,31772,1544,8.91,0.925,2.5,64.9,945,701,11,239,73,1316,1.35,28.6,numbeo
2022,Coventry,West Midlands,city_large,366000,2497,1810,29964,2750,33000,1647,9.5,0.908,9.1,64.1,976,759,12,254,79,1423,1.27,30.4,numbeo
2023,Coventry,West Midlands,city_large,366000,2636,1911,31632,2914,34963,1806,10.42,0.905,7.3,64.2,1037,840,13,291,83,1571,1.22,31.9,numbeo
2024,Coventry,West Midlands,city_large,366000,2840,2059,34080,3119,37430,1983,11.44,0.911,2.6,65.2,1154,891,13,293,82,1626,1.27,31.4,numbeo
2010,Wolverhampton,West Midlands,city_large,263000,2121,1538,25452,2157,25879,1028,5.93,0.983,3.3,64.5,718,547,9,187,56,1037,1.48,25.8,ons_modeled
2011,Wolverhampton,West Midlands,city_large,263000,2178,1579,26136,2183,26200,1054,6.08,0.998,4.5,64.7,786,573,9,196,58,1077,1.47,26.3,ons_modeled
2012,Wolverhampton,West Midlands,city_large,263000,2316,1679,27792,2208,26500,1073,6.19,1.049,2.8,64.9,774,584,9,214,63,1113,1.51,25.2,ons_modeled
2013,Wolverhampton,West Midlands,city_large,263000,2241,1625,26892,2250,27000,1094,6.31,0.996,2.6,66.2,772,631,9,218,62,1164,1.4,28.2,ons_modeled
2014,Wolverhampton,West Midlands,city_large,263000,2303,1670,27636,2267,27200,1127,6.5,1.016,1.5,66.1,847,635,9,225,65,1180,1.42,27.6,ons_modeled
2015,Wolverhampton,West Midlands,city_large,263000,2367,1716,28404,2304,27645,1161,6.7,1.027,0.1,66.2,819,631,9,219,65,1170,1.47,26.7,ons_modeled
2016,Wolverhampton,West Midlands,city_large,263000,2359,1710,28308,2350,28195,1248,7.2,1.004,0.7,66.3,798,645,10,225,64,1209,1.41,27.3,ons_modeled
2017,Wolverhampton,West Midlands,city_large,263000,2395,1736,28740,2413,28954,1300,7.5,0.993,2.7,66.2,884,656,10,217,65,1215,1.43,27.4,ons_modeled
2018,Wolverhampton,West Midlands,city_large,263000,2493,1807,29916,2463,29559,1357,7.83,1.012,2.5,67.1,879,680,11,222,67,1268,1.43,27.3,ons_modeled
2019,Wolverhampton,West Midlands,city_large,263000,2552,1850,30624,2532,30378,1423,8.21,1.008,1.7,66.6,851,704,10,239,71,1295,1.43,27.6,ons_modeled
2020,Wolverhampton,West Midlands,city_large,263000,2635,1910,31620,2622,31461,1511,8.72,1.005,0.9,66.9,860,661,11,244,68,1274,1.5,25.1,ons_modeled
2021,Wolverhampton,West Midlands,city_large,263000,2652,1923,31824,2648,31772,1544,8.91,1.002,2.5,67.5,953,679,10,249,70,1281,1.5,25.6,ons_modeled
2022,Wolverhampton,West Midlands,city_large,263000,2826,2049,33912,2750,33000,1647,9.5,1.028,9.1,67.0,1032,802,12,274,75,1482,1.38,28.4,ons_modeled
2023,Wolverhampton,West Midlands,city_large,263000,3014,2185,36168,2914,34963,1806,10.42,1.034,7.3,67.8,1102,814,13,272,81,1524,1.43,27.0,ons_modeled
2024,Wolverhampton,West Midlands,city_large,263000,3223,2337,38676,3119,37430,1983,11.44,1.033,2.6,67.5,1133,821,13,291,88,1560,1.5,25.5,ons_modeled
2010,Dudley,West Midlands,city_large,312000,2157,1564,25884,2157,25879,1028,5.93,1.0,3.3,65.0,763,578,8,193,56,1054,1.48,26.8,ons_modeled
2011,Dudley,West Midlands,city_large,312000,2211,1603,26532,2183,26200,1054,6.08,1.013,4.5,65.0,759,609,9,198,60,1117,1.44,27.5,ons_modeled
2012,Dudley,West Midlands,city_large,312000,2221,1610,26652,2208,26500,1073,6.19,1.006,2.8,65.8,819,634,9,200,63,1149,1.4,28.5,ons_modeled
2013,Dudley,West Midlands,city_large,312000,2317,1680,27804,2250,27000,1094,6.31,1.03,2.6,66.3,837,638,9,205,60,1156,1.45,27.5,ons_modeled
2014,Dudley,West Midlands,city_large,312000,2310,1675,27720,2267,27200,1127,6.5,1.019,1.5,65.5,821,611,10,222,61,1169,1.43,26.5,ons_modeled
